uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
09988.HK,20220126,111.752,114.152,109.552,112.352,353537.38,,,0.10000000000000853,0.08908527242277067,39614570.503759995,20220126,353537.38,32.480421669205285,41.34467846841693,43.12576283526019,117.73199999999778,118.61199999999954,125.87366666666615,-0.6998654419327153,-0.03382070221212127,-1.332089479441188,118.61199999999954,131.83643193486918,105.3875680651299,21.58302448306855,34.935017323388436,-5.1209611975712335,0.6335967824406741,476018.84400000575,364888.675500001,0.7426961862039136,-86.60287081339713,30.0,
09988.HK,20220127,105.952,107.352,103.452,103.952,754676.81,,,-8.400000000000006,-7.476502420962694,79204840.56312001,20220127,754676.81,21.66664897373235,33.70391400562475,38.93960324764548,113.13199999999779,118.54199999999983,125.00533333333297,-1.7962001855760548,-0.38629659888490797,-2.8198071733822934,118.54199999999983,132.05804971876012,105.02595028123955,15.068955097555902,28.312996581444256,-11.419127870220805,0.6889885782890731,537361.8400000036,390703.31900000124,1.404410871453014,-98.14814814814815,12.0,
09988.HK,20220128,105.452,106.952,104.052,105.452,438099.5,,,1.5,1.4429736801600739,46198468.474,20220128,438099.5,26.883003944879476,36.00771696519248,40.02440145805994,109.71199999999953,118.09700000000012,124.07866666666645,-2.5150242703612804,-0.8120421331801826,-3.4059642743621956,118.09700000000012,132.6795203582921,103.51447964170814,12.767058500411416,23.131017221099974,-7.9608589409657,0.6186020501411745,501346.96600000263,396689.4605000019,0.8738449212037271,-92.5925925925926,20.0,
09988.HK,20220131,107.552,111.652,106.952,109.452,295793.11,,,4.0,3.793195008155369,32094144.021220002,20220131,295793.11,39.72683068364744,41.88286645815705,42.84967300511388,108.69200000000129,118.04700000000011,123.31366666666653,-2.7304559690350345,-1.195724900351153,-3.069462137367763,118.04700000000011,132.74046453359463,103.35353546640559,16.674637639730058,20.978890693976666,8.066131531236842,0.6235709970545467,450988.38400000334,400390.6430000022,0.6558774471672375,-77.77777777777779,48.0,
09988.HK,20220204,115.452,116.252,113.852,115.852,432930.69,,,6.400000000000006,5.847312063735707,50069300.15988,20220204,432930.69,54.928187404748336,49.90984713734901,47.016714977040635,109.41200000000245,118.22200000000012,122.69866666666664,-2.357583870058235,-1.4280966942925695,-1.8589743515313315,118.22200000000012,132.72208275838463,103.7219172416156,27.987173392473103,23.314984926808812,37.33155032380169,0.6532940994504246,455007.4980000019,410422.726000002,0.9514803424184413,-54.074074074074055,73.0,
09988.HK,20220207,112.852,114.152,109.052,110.452,547573.12,,,-5.400000000000006,-4.66111935918241,61137633.99424,20220207,547573.12,43.75491886392967,44.28044406208884,44.180513333286385,109.0320000000036,118.24700000000011,121.99700000000011,-2.4693497882951334,-1.6363473130930823,-1.6660049504041021,118.24700000000011,132.69158029850655,103.80241970149369,30.623927560794034,25.75129913813722,40.369184406107664,0.6704698110025573,493814.6460000038,422442.6275000021,1.108863668656753,-71.42857142857143,57.99999999999999,
09988.HK,20220208,108.052,108.952,106.052,106.652,416963.54,,,-3.799999999999997,-3.440408503241225,44761869.94608,20220208,416963.54,37.34076639547302,40.75184899727484,42.306531047207024,109.57200000000303,117.75699999999998,121.16366666666678,-2.8319088434574127,-1.8754596191659485,-1.9128984485829283,117.75699999999998,133.0517670789718,102.46223292102816,28.03499932624365,26.512532534172696,31.07993291038556,0.6461638296312228,426271.99200000166,419674.8570000023,0.9781631160979452,-86.93877551020407,44.0,
09988.HK,20220209,113.452,114.852,112.452,114.252,444806.36,,,7.599999999999994,7.125979822225551,50642093.69872,20220209,444806.36,53.64832841298376,49.527222597294134,46.998312977907936,111.3320000000007,117.25699999999998,120.42366666666663,-2.477424811536622,-1.9958526576400835,-0.963144307793077,117.25699999999998,132.3218564546762,102.19214354532375,46.8149995508291,33.28002153972483,73.88495557303764,0.6521918010539866,427613.36400000454,412525.7035000026,1.04020687248679,-55.918367346938794,72.0,
09988.HK,20220210,118.452,118.452,114.852,117.652,323539.47,,,3.4000000000000057,2.975877883975778,38194481.512439996,20220210,323539.47,59.33055762795893,52.92967381299427,48.93682161217996,112.97200000000012,116.98700000000026,119.75366666666669,-1.9002373242877155,-1.97672959096961,0.15298453336378914,116.98700000000026,131.8184901476557,102.15550985234484,62.76555525610829,43.10853277851932,102.07960021128625,0.6615760154934112,433162.63600000145,410295.18900000304,0.7469237720679096,-42.0408163265306,79.0,
09988.HK,20220211,115.852,118.352,115.452,117.852,242037.87,,,0.20000000000000284,0.16999286029986982,28282609.18524,20220211,242037.87,59.67946644393482,53.13241729329905,49.05120066206576,113.37200000000011,116.82700000000041,119.10199999999992,-1.4104153633458338,-1.863466745444855,0.9061027641980424,116.82700000000041,131.5482601362795,102.10573986372131,73.84370350407221,53.353589687036944,114.82393113814274,0.6594013596624102,394984.07200000284,406567.5530000031,0.6127788109896195,-41.224489795918345,79.0,
